sym	enstxids	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
IMPDH2	ENST00000326739	203.37	111.24	166.69	183.61	79.29	141.08	268.0	124.26	116.57	181.46	76.19	124.88
INF2	ENST00000392634	44.37	45.64	41.31	41.62	64.02	52.43	41.52	42.0	49.51	45.3	46.6	38.53
ING1	ENST00000375774	4.31	3.39	4.36	4.13	1.99	6.38	4.65	6.08	7.19	9.23	1.99	8.74
ING2	ENST00000302327	12.31	10.94	9.67	11.62	11.51	15.14	13.92	6.91	5.15	5.76	8.46	10.23
ING3	ENST00000315870	2.22	2.44	2.01	2.39	1.34	2.22	8.46	7.53	4.43	2.93	3.46	6.03
ING4	ENST00000396807	6.03	6.64	7.98	4.52	10.29	7.88	11.89	13.58	9.47	6.7	12.17	12.56
ING5	ENST00000313552	5.73	3.74	4.65	3.74	2.35	4.11	34.02	16.71	20.45	19.68	8.06	12.15
INHBA	ENST00000242208	1.0	3.09	1.0	3.46	3.41	6.05	5.26	14.09	2.15	17.38	21.45	34.09
INMT	ENST00000013222	1.0	1.88	1.19	1.0	1.72	4.39	2.61	6.62	3.86	1.0	2.2	7.36
INO80	ENST00000361937	13.24	10.93	12.9	13.21	5.99	11.95	4.11	4.52	4.41	6.95	2.7	4.75
INO80B	ENST00000452361	9.39	5.88	9.85	9.92	11.67	7.8	25.33	11.33	15.79	11.96	15.21	10.31
INO80D	ENST00000403263	2.52	1.99	3.08	2.35	2.1	1.31	2.43	1.61	3.64	3.31	2.65	2.12
INO80E	ENST00000304516	28.95	20.66	22.39	25.98	19.18	23.57	57.19	46.14	27.23	43.04	27.09	37.36
INPP1	ENST00000392329	10.66	8.54	11.95	10.88	11.46	8.27	15.55	11.4	9.96	13.25	14.85	10.91
INPP4A	ENST00000074304	5.74	5.29	5.42	5.39	4.8	6.04	4.14	2.58	5.07	3.37	2.99	3.51
INPP5A	ENST00000368594	15.8	20.71	16.38	15.17	21.87	13.67	5.95	9.05	6.66	10.13	7.79	3.87
INPP5B	ENST00000373023	4.82	4.54	5.74	3.37	1.3	2.96	4.03	3.17	3.43	2.47	1.0	2.81
INPP5E	ENST00000371712	6.89	5.7	4.78	5.46	3.76	7.5	7.08	1.66	4.1	11.16	1.03	1.03
INPP5F	ENST00000361976	4.96	4.59	4.37	5.32	2.82	4.63	2.83	5.05	3.23	3.45	3.68	4.7
INPP5K	ENST00000350761	9.18	10.79	11.78	9.17	13.82	12.48	3.11	9.08	7.87	5.84	9.42	4.92
INSC	ENST00000379554	1.0	1.0	1.0	1.34	1.23	3.24	1.0	1.0	1.0	3.27	1.8	4.18
INSR	ENST00000302850	1.19	1.77	1.81	1.0	1.0	1.87	1.38	2.53	3.29	1.53	1.36	2.54
INTS10	ENST00000397977	16.29	14.54	14.86	18.8	17.09	19.3	14.09	9.69	9.96	12.79	10.03	6.62
INTS12	ENST00000451321	9.21	9.67	6.55	11.29	12.48	9.77	8.61	10.48	4.61	7.35	12.33	12.93
INTS2	ENST00000444766	4.74	3.34	4.57	4.53	2.44	5.18	8.22	5.03	6.72	5.46	5.53	10.89
INTS3	ENST00000318967	23.15	22.89	26.44	23.17	16.42	24.72	21.74	24.28	28.39	22.15	18.12	27.99
INTS4	ENST00000534064	11.78	8.7	11.19	12.32	6.58	9.47	11.65	11.12	9.18	7.35	7.67	9.58
INTS5	ENST00000330574	11.2	9.92	10.47	12.7	8.53	12.22	6.93	8.66	9.99	11.65	8.04	9.44
INTS6	ENST00000311234	10.87	11.54	10.95	10.86	11.93	11.5	10.88	8.14	9.23	6.66	12.89	9.86
INTS7	ENST00000366994	7.44	7.17	6.3	8.92	4.24	6.69	4.19	6.35	5.48	8.46	4.79	6.13
INTS8	ENST00000523731	9.34	8.6	8.7	11.46	9.85	8.66	10.0	10.62	7.75	9.08	15.07	11.3
INTS9	ENST00000521022	7.36	7.09	6.09	7.9	6.63	8.48	9.7	11.49	7.96	6.52	7.78	11.31
INVS	ENST00000262457	4.3	4.91	3.97	4.56	5.47	4.36	1.59	2.05	1.26	2.72	2.18	2.95
IP6K1	ENST00000321599	16.85	16.14	18.37	15.08	14.42	20.78	18.5	11.96	18.13	10.86	12.0	15.95
IP6K2	ENST00000328631	16.68	18.68	19.29	18.18	30.03	23.79	18.42	17.16	16.13	16.33	38.21	25.49
IPMK	ENST00000373935	2.86	1.85	3.29	3.25	2.42	2.9	3.69	3.03	3.02	1.0	4.31	4.02
IPO11	ENST00000409296	14.61	10.52	10.4	13.42	8.08	11.17	15.05	11.94	10.85	16.31	14.83	16.87
IPO13	ENST00000372343	18.15	16.24	20.5	19.54	26.39	16.39	6.05	5.99	7.93	8.16	10.97	5.8
IPO5	ENST00000261574	89.68	87.27	61.77	76.34	61.86	69.71	154.73	150.76	96.59	148.73	140.22	152.38
IPO8	ENST00000256079	14.32	18.68	12.88	12.63	11.28	15.9	20.15	23.6	20.6	23.54	21.08	25.74
IPO9	ENST00000361565	17.64	14.53	12.48	16.49	7.15	15.28	37.68	34.27	28.19	38.07	18.86	38.51
IPP	ENST00000396478	4.6	6.74	3.97	4.82	5.85	5.13	6.17	11.2	4.7	6.58	8.92	6.73
IPPK	ENST00000287996	1.7	2.14	1.31	2.1	3.45	2.58	7.68	11.93	3.34	7.03	11.9	8.44
IQCB1	ENST00000310864	8.96	4.44	7.04	8.11	3.28	4.49	8.02	3.08	4.32	3.73	2.71	4.18
IQCD	ENST00000416617	1.0	1.0	1.0	1.0	1.0	5.01	1.0	1.0	1.2	1.24	1.0	6.62
IQCE	ENST00000402050	5.68	5.7	6.14	5.02	5.0	6.01	3.74	1.26	4.69	5.85	1.75	2.29
IQCG	ENST00000265239	2.34	2.9	3.39	2.14	1.89	2.24	1.54	2.3	2.12	3.52	2.28	3.0
IQCJ-SCHIP1	ENST00000485419	2.91	2.81	2.17	2.37	1.59	2.12	5.81	5.85	4.81	5.64	2.42	4.15
IQSEC1	ENST00000435445	9.35	8.27	8.51	5.85	6.39	7.51	4.59	4.31	7.78	6.31	2.89	3.08
IQSEC2	ENST00000396435	2.8	2.98	3.41	2.02	1.96	3.49	1.73	1.56	2.49	2.14	1.0	2.48
IRAK1	ENST00000369980	113.05	58.28	84.71	123.47	67.07	67.06	11.97	5.04	11.97	15.02	4.02	6.23
IRAK4	ENST00000448290	4.2	9.29	6.02	4.46	5.17	4.22	2.64	6.95	3.58	1.45	4.65	3.46
IREB2	ENST00000258886	9.49	12.03	9.54	9.09	9.07	11.37	11.64	14.65	8.55	4.86	14.04	12.92
IRF1	ENST00000245414	5.06	5.63	8.66	5.7	3.1	12.61	18.35	17.56	34.16	11.3	8.09	36.48
IRF2	ENST00000393593	7.32	8.91	9.14	7.86	4.28	15.37	14.93	12.61	13.15	6.38	6.79	19.16
IRF2BP1	ENST00000302165	15.95	9.81	11.97	10.76	9.06	13.82	17.03	10.78	16.61	9.73	7.68	11.19
IRF2BP2	ENST00000366609	14.08	11.52	14.97	13.62	7.62	11.95	26.27	20.3	41.77	20.21	11.34	14.98
IRF2BPL	ENST00000238647	29.31	18.1	38.07	27.8	13.98	35.29	31.03	16.38	54.11	26.67	9.34	24.74
IRF3	ENST00000309877	28.89	21.5	29.97	30.09	18.92	26.45	48.46	27.66	56.39	35.2	17.88	24.56
IRGQ	ENST00000422989	5.97	3.71	5.75	6.29	9.21	6.26	16.4	12.28	21.55	21.82	26.15	15.05
IRS1	ENST00000305123	41.15	20.74	23.05	29.63	17.66	24.23	15.59	8.04	10.9	11.13	6.34	8.01
IRX3	ENST00000329734	3.54	2.01	3.33	1.93	1.0	4.29	4.67	2.13	7.0	3.33	1.0	3.66
ISCA2	ENST00000556816	5.21	6.77	5.11	4.44	5.38	5.78	15.09	28.48	13.68	18.72	14.77	14.59
ISCU	ENST00000311893	38.64	44.26	47.71	45.41	91.2	46.39	38.61	73.35	41.86	32.88	88.32	53.06
ISG20	ENST00000306072	1.0	1.0	1.0	1.63	1.0	3.09	3.46	1.0	2.26	4.29	1.0	8.63
ISG20L2	ENST00000313146	13.41	12.79	9.79	13.82	12.19	12.56	5.17	8.63	6.21	3.63	3.19	5.26
ISL2	ENST00000290759	5.24	2.64	5.37	3.86	2.24	1.44	11.9	4.04	14.13	10.69	3.06	1.26
ISOC1	ENST00000173527	9.94	5.59	6.36	8.86	5.88	7.53	7.62	4.87	6.39	3.36	5.43	4.27
IST1	ENST00000535424	31.9	37.72	33.34	32.17	36.91	43.32	50.77	58.6	51.6	40.52	40.95	69.46
ISY1	ENST00000418265	7.84	5.79	6.6	7.21	4.68	5.88	61.3	49.39	46.72	42.85	31.77	52.9
ITCH	ENST00000262650	19.29	22.51	19.81	21.86	26.68	19.9	16.28	22.27	18.26	21.29	32.09	24.75
ITFG2	ENST00000228799	8.46	7.41	6.97	6.68	3.49	5.04	10.28	9.31	8.49	7.47	2.2	5.41
ITFG3	ENST00000399932	30.99	36.64	33.95	27.3	45.17	38.43	16.51	14.65	22.82	17.96	30.66	16.55
ITGA1	ENST00000282588	4.49	5.65	4.18	2.53	1.56	6.82	7.25	12.62	6.7	3.88	6.31	15.0
ITGA3	ENST00000007722	76.55	104.14	67.27	88.29	130.51	192.41	90.5	156.19	121.31	171.14	302.71	263.94
ITGA6	ENST00000264106	69.81	102.93	61.98	84.33	165.77	196.13	109.1	154.98	95.67	149.18	398.73	330.87
ITGA7	ENST00000555728	1.0	2.17	1.0	1.0	1.0	1.0	1.0	3.45	1.47	1.0	2.11	1.0
ITGB1	ENST00000374956	610.66	844.49	567.93	644.52	1314.47	1158.03	1163.52	1549.03	994.63	1535.37	3935.09	2625.24
ITGB1BP2	ENST00000373829	1.0	2.24	1.18	1.0	1.2	1.0	1.0	6.69	1.0	1.0	1.17	1.0
ITGB5	ENST00000296181	42.03	59.71	58.04	39.37	51.6	62.86	37.45	42.45	58.6	38.57	60.17	40.88
ITIH5	ENST00000256861	1.0	3.17	1.0	1.0	1.0	1.0	1.0	6.24	1.0	1.0	1.0	1.0
ITM2B	ENST00000378565	65.25	134.46	105.45	54.78	111.88	79.0	158.84	477.52	264.48	130.18	524.76	301.66
ITM2C	ENST00000326427	45.89	86.42	76.24	47.22	108.71	98.67	77.13	125.45	138.43	100.55	187.82	128.67
ITPKB	ENST00000429204	1.0	1.07	1.0	1.49	3.13	1.58	1.0	1.0	1.0	1.3	1.65	1.0
ITPKC	ENST00000263370	5.33	8.25	8.41	6.48	11.58	6.82	2.69	7.02	7.22	8.89	6.1	5.95
ITPR1	ENST00000356617	1.0	1.0	1.0	1.99	1.64	1.0	1.0	1.0	1.11	1.78	3.25	1.0
ITPR2	ENST00000381340	3.18	4.26	4.76	2.99	4.53	3.94	2.78	4.26	4.11	4.36	8.48	6.28
ITPRIP	ENST00000278071	24.22	17.91	31.64	38.53	10.88	25.3	32.14	20.1	58.64	65.06	20.31	26.03
ITPRIPL2	ENST00000381440	21.42	22.66	30.73	25.09	22.4	30.57	18.97	13.03	33.79	30.71	13.46	13.3
ITSN1	ENST00000381318	3.37	4.61	3.87	3.66	3.99	4.52	7.81	9.83	11.77	11.63	10.48	13.35
ITSN2	ENST00000355123	6.93	6.14	7.31	7.69	7.47	5.79	5.96	7.03	8.52	12.13	12.05	8.74
IVD	ENST00000487418	23.11	27.48	19.75	23.45	30.61	29.85	46.55	34.31	45.84	52.79	34.07	36.02
IVNS1ABP	ENST00000367498	21.01	23.07	16.4	24.49	9.44	31.99	13.7	11.54	3.86	11.45	5.63	16.84
IWS1	ENST00000295321	29.62	26.75	22.5	32.75	29.35	34.87	65.69	46.45	50.07	71.37	60.33	72.2
JAG1	ENST00000254958	1.64	1.71	2.72	1.0	1.0	1.05	1.35	2.19	3.7	1.0	1.14	2.27
JAGN1	ENST00000307768	18.34	18.68	19.74	18.13	18.65	19.63	44.78	30.06	36.66	36.39	45.99	28.49
JAK1	ENST00000342505	45.55	54.99	59.01	43.34	44.9	52.01	43.19	53.14	52.0	25.7	51.38	50.66
JAK2	ENST00000381652	1.96	3.35	2.43	2.36	2.31	4.43	1.0	2.48	1.6	1.33	2.58	2.42
JAK3	ENST00000458235	1.0	1.0	1.0	1.0	1.0	1.02	1.0	1.0	1.0	1.0	1.0	1.02
JAM3	ENST00000529443	25.48	24.95	33.42	34.21	53.74	39.15	46.86	37.75	40.49	42.63	107.77	62.34
JARID2	ENST00000341776	3.45	3.91	4.98	5.4	3.56	5.47	1.0	2.06	2.68	3.04	1.86	3.09
JAZF1	ENST00000283928	7.2	8.56	9.76	7.13	4.79	8.07	8.56	14.52	7.61	13.49	5.23	11.56
JKAMP	ENST00000554271	17.64	20.0	18.92	21.28	38.23	19.47	25.62	27.09	25.62	17.8	83.91	23.67
JMJD1C	ENST00000399262	10.73	7.23	15.43	14.41	7.5	6.97	5.78	5.19	6.88	7.8	8.05	8.21
JMJD6	ENST00000445478	7.45	6.28	7.38	10.2	8.22	12.6	41.98	26.54	26.9	39.26	32.68	51.29
JOSD1	ENST00000216039	26.71	24.91	31.07	25.35	18.66	21.36	15.0	4.78	11.72	6.87	3.85	3.8
JRKL	ENST00000458427	5.22	4.37	6.37	5.29	3.98	3.66	6.44	8.78	7.58	2.98	7.84	7.86
JTB	ENST00000271843	52.78	69.44	59.63	54.87	80.36	54.85	33.18	29.7	29.69	33.78	32.92	23.89
JUN	ENST00000371222	61.44	49.81	59.94	73.88	37.96	68.5	120.62	82.13	169.43	152.93	66.42	98.18
KALRN	ENST00000360013	1.0	1.0	1.0	1.0	1.0	1.51	1.0	1.0	1.0	1.0	1.0	1.0
KANK1	ENST00000382303	8.12	18.95	6.68	7.17	7.19	9.2	3.22	12.3	5.07	5.48	5.76	7.22
KARS	ENST00000319410	90.54	65.82	68.55	100.6	79.86	77.84	96.89	81.3	60.9	77.9	79.02	85.78
KAT2A	ENST00000225916	28.97	18.06	21.97	27.81	13.74	32.36	17.57	10.25	14.4	20.11	7.47	18.32
KAT2B	ENST00000263754	3.54	4.69	5.52	3.1	3.42	6.2	1.18	1.22	2.45	1.61	1.0	2.2
KAT6A	ENST00000396930	12.88	11.39	12.07	11.78	5.24	11.03	8.24	6.51	7.19	8.01	2.92	9.5
KAT6B	ENST00000287239	6.86	5.42	9.63	5.58	3.9	5.17	1.0	2.55	4.73	3.47	1.52	4.05
KAT7	ENST00000259021	20.16	12.47	16.44	18.47	7.32	18.68	31.79	23.54	20.23	23.07	12.36	30.91
KAT8	ENST00000448516	10.58	8.75	9.89	7.35	3.44	9.34	12.01	7.98	12.37	5.01	3.22	9.27
KATNA1	ENST00000367411	15.64	10.81	13.19	13.86	8.32	10.35	19.46	14.1	14.48	15.2	12.37	10.11
KATNAL1	ENST00000380615	9.29	13.45	5.35	8.73	17.27	6.56	21.88	31.82	7.96	16.59	41.26	15.01
KATNB1	ENST00000379661	10.32	9.49	9.37	12.29	9.83	13.58	2.89	2.29	3.84	5.95	2.65	2.52
KBTBD2	ENST00000304056	11.98	14.91	11.96	11.18	9.0	15.52	7.08	7.0	7.52	6.44	5.81	8.66
KBTBD4	ENST00000533290	8.65	9.09	9.34	8.39	7.5	8.67	13.6	11.77	10.84	7.28	7.35	10.71
KBTBD6	ENST00000379485	3.76	3.91	2.97	3.06	2.62	3.43	3.14	3.52	2.14	2.15	2.02	1.89
KCNJ15	ENST00000398930	1.0	1.0	1.0	1.26	1.74	2.24	1.0	1.0	1.0	1.78	4.39	4.6
KCNJ2	ENST00000243457	1.0	1.0	1.0	1.0	1.39	1.0	1.0	1.0	1.18	1.0	4.81	1.0
KCTD10	ENST00000228495	26.86	38.91	32.51	29.63	41.79	36.7	60.96	87.45	74.68	75.34	73.83	66.94
KCTD13	ENST00000308768	7.06	4.76	7.96	9.9	10.14	7.34	2.49	2.79	5.43	9.3	4.74	4.27
KCTD18	ENST00000359878	5.73	6.12	6.98	5.39	4.79	5.05	4.62	4.55	4.52	2.22	3.39	1.81
KCTD2	ENST00000322444	13.65	11.6	15.38	13.64	16.98	16.43	17.39	13.97	18.86	14.79	13.61	14.82
KCTD20	ENST00000373731	23.16	36.13	23.93	19.85	31.82	24.71	16.86	37.2	20.85	11.56	25.53	23.06
KCTD21	ENST00000340067	5.35	5.77	6.86	5.63	6.73	5.71	5.97	8.92	7.16	9.41	5.33	5.0
KCTD3	ENST00000259154	14.36	18.44	14.26	14.84	6.22	13.48	12.7	12.55	9.05	8.75	4.69	9.36
KCTD4	ENST00000405872	1.04	1.0	1.0	1.84	7.36	1.66	1.0	1.0	1.44	1.07	8.03	2.46
KCTD5	ENST00000301738	23.59	21.28	19.87	27.69	27.86	22.86	31.05	25.6	26.35	34.43	29.6	32.38
KCTD6	ENST00000355076	3.13	2.4	2.95	3.4	1.82	2.26	2.97	5.3	2.29	7.5	4.63	6.26
KCTD9	ENST00000221200	18.98	29.69	16.79	18.34	20.28	18.91	21.13	52.62	18.04	12.59	39.08	28.45
KDELC1	ENST00000376004	5.27	11.12	5.2	7.58	10.83	13.86	11.44	18.33	8.46	10.21	32.9	29.47
KDELR1	ENST00000330720	163.8	177.09	192.63	168.2	312.05	148.68	193.46	320.93	254.91	279.49	819.43	254.71
KDELR2	ENST00000258739	136.25	200.11	170.03	136.66	223.23	154.02	288.01	416.82	310.94	281.84	682.15	323.92
KDM1A	ENST00000400181	38.96	27.0	29.94	36.92	17.89	33.15	46.01	34.3	37.13	39.63	26.47	38.35
KDM1B	ENST00000388870	6.89	6.89	7.57	9.7	6.92	4.34	5.53	5.65	5.54	6.7	5.45	4.81
KDM2A	ENST00000529006	22.04	20.31	21.54	22.76	17.21	20.07	11.96	13.22	15.33	15.45	15.4	15.1
KDM3A	ENST00000540058	7.1	7.6	10.34	6.54	5.73	6.78	5.09	7.01	8.74	6.05	7.18	7.87
KDM3B	ENST00000314358	14.59	11.07	13.91	13.02	8.56	15.97	12.14	11.98	14.29	11.34	9.61	15.09
KDM4A	ENST00000372396	17.26	12.52	21.61	13.86	9.93	12.22	16.04	19.04	22.26	14.62	14.18	15.02
KDM4B	ENST00000536461	8.89	9.01	12.49	7.39	10.67	8.7	5.89	6.69	13.09	5.87	7.94	5.98
KDM4C	ENST00000381309	2.78	4.01	4.13	3.0	4.43	4.0	3.01	5.0	3.98	2.96	4.8	4.56
KDM5A	ENST00000399788	7.3	7.71	8.27	7.35	6.43	7.27	11.4	10.1	10.05	9.14	9.7	12.49
KDM5B	ENST00000367264	7.82	16.5	11.72	11.14	17.92	17.48	12.0	26.15	18.96	20.15	35.08	32.38
KDM5C	ENST00000375401	21.82	18.98	24.18	24.84	15.25	27.91	13.99	12.31	16.1	17.05	9.82	18.29
KDM5D	ENST00000541639	7.33	6.61	6.61	6.55	3.82	6.84	4.75	3.18	2.87	4.01	2.05	5.25
KDM6A	ENST00000382899	4.48	3.93	4.58	4.79	2.66	4.11	1.03	1.65	1.41	1.54	1.75	2.23
KDM6B	ENST00000254846	3.3	3.2	3.4	3.99	4.95	6.35	1.0	1.0	1.0	3.45	1.29	1.06
KDSR	ENST00000406396	11.07	11.9	13.28	17.9	26.22	14.5	43.77	39.34	58.45	75.56	148.55	44.75
KEAP1	ENST00000171111	39.86	29.09	34.69	36.02	19.41	32.37	36.69	15.76	22.35	20.62	7.79	13.07
KHDRBS1	ENST00000327300	91.32	60.02	65.16	82.21	30.06	76.52	215.14	136.81	144.1	145.64	68.2	164.02
KHDRBS3	ENST00000355849	18.75	14.1	18.77	15.97	9.51	8.89	31.54	25.31	33.92	13.83	18.12	13.96
KHNYN	ENST00000251343	12.98	10.25	16.7	12.42	8.52	12.78	10.4	6.5	9.32	7.4	4.95	5.53
KHSRP	ENST00000398148	122.8	57.64	73.49	102.2	36.11	78.09	184.75	87.08	136.78	161.74	54.54	104.98
KIAA0020	ENST00000397885	18.95	19.78	14.94	26.33	18.63	25.61	35.18	38.35	18.38	27.68	37.15	44.28
KIAA0090	ENST00000477853	43.82	28.8	29.04	37.83	40.23	37.01	140.77	98.06	106.9	150.09	198.57	123.48
KIAA0100	ENST00000005905	57.39	59.57	61.33	57.28	69.21	53.05	6.21	6.94	8.2	8.86	7.92	8.06
KIAA0141	ENST00000432126	12.5	8.12	13.52	10.25	6.6	8.39	20.87	16.92	27.23	24.11	13.31	18.15
KIAA0146	ENST00000297423	11.86	10.03	9.86	8.58	3.41	9.11	8.95	8.05	3.1	4.63	1.74	5.69
KIAA0182	ENST00000253458	15.98	8.57	11.98	10.6	3.78	11.54	8.84	5.78	9.92	8.89	3.33	6.95
KIAA0195	ENST00000375248	12.89	9.72	12.48	9.37	11.03	15.25	4.2	2.52	5.21	4.78	4.49	3.31
KIAA0196	ENST00000318410	17.47	25.32	23.18	19.91	21.4	22.76	11.92	17.27	16.42	13.47	19.51	16.54
KIAA0232	ENST00000307659	6.62	8.69	8.03	6.34	9.98	7.61	2.01	3.41	2.91	3.2	4.96	2.9
KIAA0247	ENST00000342745	6.85	8.63	8.48	6.59	8.15	11.71	14.37	18.19	25.99	22.02	36.03	20.04
KIAA0284	ENST00000453495	17.96	16.13	16.04	17.53	20.93	14.06	5.95	5.64	6.95	9.43	4.9	2.66
KIAA0317	ENST00000356357	15.12	14.52	13.98	16.17	14.95	17.29	2.68	2.3	2.71	4.54	3.94	3.88
KIAA0355	ENST00000299505	7.83	6.15	8.09	4.81	2.85	3.44	3.75	2.36	4.1	5.0	1.25	1.32
KIAA0391	ENST00000534898	12.73	14.3	10.86	14.95	14.01	15.47	22.24	13.29	10.77	24.17	15.43	19.36
KIAA0415	ENST00000348624	14.46	11.9	19.11	18.07	18.53	14.85	12.55	12.79	28.32	25.69	12.09	8.79
KIAA0430	ENST00000396368	8.91	8.37	10.28	8.14	7.16	8.34	1.47	1.81	1.54	1.83	2.81	2.31
KIAA0494	ENST00000371933	23.31	25.7	26.87	23.7	28.13	20.56	7.31	8.41	9.66	9.22	14.43	6.81
KIAA0513	ENST00000258180	4.47	5.92	5.07	3.78	7.67	3.58	7.99	10.25	11.16	1.9	10.62	4.78
KIAA0528	ENST00000545552	6.79	6.51	5.74	4.51	2.86	5.12	3.69	4.32	4.36	2.43	2.47	4.29
KIAA0556	ENST00000261588	6.15	5.78	7.87	4.89	4.16	4.38	4.72	4.53	4.28	4.51	3.72	4.59
KIAA0564	ENST00000379310	5.19	5.38	6.02	5.6	4.95	4.15	6.06	3.56	6.94	10.77	5.29	5.35
KIAA0586	ENST00000354386	7.45	6.86	5.22	6.23	3.29	5.75	3.66	6.16	3.96	3.49	5.39	6.07
KIAA0753	ENST00000361413	6.13	5.91	5.43	6.51	4.89	6.62	6.22	4.01	3.01	4.38	2.63	3.02
KIAA0754	ENST00000530275	17.49	14.38	19.51	14.59	8.6	13.26	7.01	5.75	8.21	7.3	4.49	9.29
KIAA0825	ENST00000513200	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.29	1.0	1.0	1.29	1.0
KIAA0907	ENST00000368321	11.87	7.03	10.79	11.41	10.34	10.33	10.64	6.94	13.05	16.51	9.33	12.85
KIAA0913	ENST00000398706	13.64	16.74	20.29	15.02	18.87	19.73	9.27	9.82	17.22	12.59	10.43	9.88
KIAA0922	ENST00000409959	2.58	3.93	3.17	2.42	2.25	1.88	2.63	6.38	3.13	1.52	7.16	2.49
KIAA0947	ENST00000296564	12.72	9.69	12.51	11.09	5.55	10.51	4.13	3.85	3.3	4.55	2.21	4.74
KIAA1009	ENST00000403245	1.25	1.07	1.27	1.0	1.0	1.0	1.49	1.35	1.0	1.0	1.0	1.0
KIAA1033	ENST00000332180	14.34	15.69	18.76	17.4	22.35	13.07	18.71	22.65	21.83	21.48	45.15	27.31
KIAA1109	ENST00000264501	5.79	6.83	7.64	4.7	6.9	5.0	1.29	2.33	2.03	1.92	4.16	2.89
KIAA1143	ENST00000296121	10.06	13.52	12.24	8.51	9.6	8.9	18.82	42.88	19.63	25.56	22.44	36.39
KIAA1191	ENST00000298569	41.25	45.32	46.1	44.47	75.05	33.47	7.4	1.27	3.45	3.65	3.03	1.13
KIAA1244	ENST00000251691	1.0	1.0	1.67	1.0	1.0	1.0	1.0	1.0	2.32	1.54	1.0	1.0
KIAA1267	ENST00000262419	12.4	8.7	12.37	10.48	7.52	13.84	5.45	5.79	6.66	6.76	3.25	7.46
KIAA1279	ENST00000361983	33.05	32.95	26.52	33.24	28.56	32.07	50.03	52.18	43.14	39.2	45.33	56.34
KIAA1310	ENST00000431828	15.48	15.62	17.32	14.1	12.63	14.74	10.82	10.16	10.34	10.92	5.51	10.14
KIAA1328	ENST00000280020	1.22	1.02	1.05	1.0	1.0	1.45	5.35	2.1	1.32	1.0	1.05	3.64
KIAA1429	ENST00000297591	16.65	15.97	16.33	18.81	14.68	14.44	18.42	22.0	17.87	18.5	23.56	23.75
KIAA1430	ENST00000458385	11.46	14.59	11.95	10.02	7.74	8.09	13.55	21.48	8.42	11.31	13.43	13.68
KIAA1432	ENST00000414202	6.84	15.88	6.56	6.55	12.15	10.72	2.99	6.06	2.69	2.63	7.43	5.44
KIAA1462	ENST00000375377	10.37	8.72	11.23	12.62	12.56	17.24	6.99	5.74	8.37	7.38	8.4	13.42
KIAA1467	ENST00000197268	1.53	2.13	1.8	1.48	3.8	2.45	1.7	3.19	2.81	1.97	7.77	5.42
KIAA1468	ENST00000256858	9.8	11.19	11.04	10.9	11.08	10.99	7.94	10.98	12.08	13.56	12.9	13.91
KIAA1522	ENST00000401073	8.73	7.5	9.24	5.12	2.44	4.14	2.09	2.48	2.17	2.65	1.0	1.19
KIAA1530	ENST00000389851	4.43	3.44	4.53	3.81	2.46	3.03	7.65	6.22	8.19	7.86	3.47	5.06
KIAA1586	ENST00000370733	5.43	4.89	4.89	6.22	3.69	3.95	4.48	6.53	3.77	3.47	5.37	4.63
KIAA1609	ENST00000343629	12.89	14.76	14.25	16.61	14.68	15.73	48.28	38.64	38.83	33.94	31.14	29.64
KIAA1671	ENST00000358431	1.0	1.0	1.0	1.0	1.0	1.24	1.0	1.0	1.0	1.11	1.0	1.4
KIAA1704	ENST00000497558	4.38	5.38	4.44	4.45	5.63	5.34	27.86	30.59	18.92	21.6	26.09	29.03
KIAA1731	ENST00000411936	4.17	2.96	3.51	3.39	1.0	2.25	2.65	2.33	1.42	2.59	1.37	2.73
KIAA1737	ENST00000361786	4.28	4.98	4.63	6.69	7.59	5.76	1.0	3.88	1.74	4.6	3.84	3.86
KIAA1755	ENST00000279024	1.0	2.16	1.0	1.0	1.0	1.0	1.0	1.82	1.0	1.0	1.0	1.0
KIAA1797	ENST00000380249	6.61	11.95	9.3	8.87	9.91	9.66	6.81	11.63	7.62	10.34	11.53	14.32
KIAA1826	ENST00000301919	7.83	7.98	9.83	8.38	10.12	8.03	25.69	31.27	28.48	19.67	32.83	31.61
KIAA1841	ENST00000402291	2.4	3.54	2.47	2.1	1.0	2.69	3.1	2.7	2.37	2.1	1.0	2.67
KIAA1919	ENST00000368847	2.73	1.49	2.46	2.89	2.17	2.06	2.86	5.05	4.72	7.31	11.95	7.69
KIAA1967	ENST00000308511	32.85	20.06	24.04	28.92	11.5	29.5	32.67	28.56	23.82	26.75	16.21	46.39
KIAA2013	ENST00000376576	38.9	28.78	30.66	36.18	41.65	30.79	32.73	20.19	32.6	45.35	32.8	22.31
KIDINS220	ENST00000256707	12.56	13.77	16.76	13.75	11.92	10.75	9.27	12.84	11.12	12.75	22.39	12.96
KIF13A	ENST00000259711	17.23	19.89	19.24	17.53	12.24	12.94	7.93	8.97	9.43	8.22	7.25	7.22
KIF13B	ENST00000524189	2.77	1.34	2.86	3.05	2.23	1.0	4.09	1.89	3.65	2.87	2.54	1.44
KIF16B	ENST00000408042	3.94	3.66	4.0	4.13	3.76	2.64	3.89	3.24	3.92	5.17	3.35	2.92
