"","V1","V2"
"569","ACVR1","MADH1"
"570","ACVR1","MADH5"
"571","ACVR1","Spir-2"
"572","ACVR1","TGFB1"
"573","ACVR1","TGFB2"
"574","ACVR1B","AP1B1"
"575","ACVR1B","AP2B1"
"576","ACVR1B","FREQ"
"577","ACVR1B","HPCA"
"578","ACVR1B","HPCAL1"
"579","ACVR1B","INHBB"
"580","ACVR1B","MADH2"
"581","ACVR1B","MADH7"
"582","ACVR1B","NCALD"
"583","ACVR1B","SNX1"
"584","ACVR1B","TDGF1"
"585","ACVR2","BMP7"
"586","ACVR2","ENG"
"587","ACVR2","INHBB"
"588","ACVR2B","CRYPTIC"
"589","ACVR2B","INHBA"
"590","ACVR2B","INHBB"
"591","ACVR2B","LEFTB"
"592","ACVR2B","SNX1"
"593","ACVR2B","ZIC3"
"594","ACVRL1","ALK"
"595","ACVRL1","Spir-2"
"596","ACVRL1","TGFB1"
"597","ACVRL1","TGFBR2"
"598","ACY1","C20orf126"
"599","ACY1","CPA1"
"600","ACY1","CPA5"
"601","ACY1","CPB1"
"602","ACY1","HIP1"
"603","ACY1","HIP1R"
"604","ACY1","MGC14595"
"605","ACY1","SLC3A1"
"606","AD2","APP"
"607","AD2","HSF1"
"608","AD24","MGC2835"
"609","AD24","MKI67IP"
"610","ADA","ADK"
"611","ADA","AK1"
"612","ADA","CCR5"
"613","ADA","CD4"
"614","ADA","CXCR4"
"615","ADA","DCK"
"616","ADA","DPP4"
"617","ADA","DRD1"
"618","ADA","GLO1"
"619","ADA","HPRT1"
"620","ADA","ITIH4"
"621","ADA","ITPA"
"622","ADA","NR3C1"
"623","ADA","PGM1"
"624","ADA","PGM3"
"625","ADA","TAF6L"
"626","ADA","XDH"
"627","ADAM10","ADAM17"
"628","ADAM11","ADAM22"
"629","ADAM11","ADAM23"
"630","ADAM11","ADAM28"
"631","ADAM17","TIMP3"
"632","ADAM23","ADAM22"
"633","ADAMTS1","ADAMTS6"
"634","ADAMTS1","ADAMTS7"
"635","ADAMTS1","ADAMTS8"
"636","ADAMTS2","ADAMTS6"
"637","ADAMTS2","ADAMTS7"
"638","ADAMTS1","ADAMTS3"
"639","ADAMTS2","ADAMTS3"
"640","ADAMTS3","ADAMTS5"
"641","ADAMTS3","ADAMTS6"
"642","ADAMTS3","ADAMTS7"
"643","ADAMTS3","ADAMTS4"
"644","ADAMTS4","ADAMTS5"
"645","ADAMTS5","ADAMTS6"
"646","ADAMTS5","ADAMTS7"
"647","ADAMTS7","ADAMTS6"
"648","ADAMTS8","ADAMTS6"
"649","ADAMTS7","ADAMTS8"
"650","ADAR","ADARB1"
"651","ADAR","ADARB2"
"652","ADAR","PRKR"
"653","ADARB1","GRIA2"
"654","ADCY2","ADCY3"
"655","ADCY2","ADCY5"
"656","ADCY2","ADCY6"
"657","ADCY3","ADCY6"
"658","ADCY5","ADCY6"
"659","ADCY5","B4GALT4"
"660","ADCY5","COL8A1"
"661","ADCY5","FEM1B"
"662","ADCY5","LAMC1"
"663","ADCY5","OR6C2"
"664","ADCY5","TOP2B"
"665","ADCY6","FEM1B"
"666","ADCY6","LAMC1"
"667","ADCY8","CALM1"
"668","ADD1","ADD2"
"669","ADD1","EGFL3"
"670","ADD1","ID2"
"671","ADD1","LIN7A"
"672","ADD1","LIN7B"
"673","ADD1","LIN7C"
"674","ADD1","MEGF10"
"675","ADD1","MEGF11"
"676","ADD1","SP1"
"677","ADD1","SPTAN1"
"678","ADD1","SREBF1"
"679","ADD2","EGFL3"
"680","ADD2","FYN"
"681","ADD2","LIN7A"
"682","ADD2","LIN7B"
"683","ADD2","LIN7C"
"684","ADD2","MEGF10"
"685","ADD2","MEGF11"
"686","ADD2","SPTAN1"
"687","ADD3","EGFL3"
"688","ADD3","LIN7A"
"689","ADD3","LIN7B"
"690","ADD3","LIN7C"
"691","ADD3","MEGF10"
"692","ADD3","MEGF11"
"693","ADH1A","ADH1B"
"694","ADH1A","ADH1C"
"695","ADH1A","ADH4"
"696","ADH1A","ADH5"
"697","ADH1A","AKR1A1"
"698","ADH1A","BCKDK"
"699","ADH1A","CDYL"
"700","ADH1A","CEBPA"
"701","ADH1A","EG1"
"702","ADH1A","ESD"
"703","ADH1A","FLJ34278"
"704","ADH1A","FLJ38866"
"705","ADH1A","HIBCH"
"706","ADH1A","KIAA0934"
"707","ADH1A","KIAA1463"
"708","ADH1A","LOC283828"
"709","ADH1A","LOC286552"
"710","ADH1A","PDK1"
"711","ADH1A","PDK2"
"712","ADH1A","PECI"
"713","ADH1A","PHGDH"
"714","ADH1A","SLC27A2"
"715","ADH1A","SLC27A3"
"716","ADH1A","SLC27A4"
"717","ADH1A","SLC27A5"
"718","ADH1A","SP1"
"719","ADH1A","VLCS-H1"
"720","ADH1B","ADH1C"
"721","ADH1B","ADH4"
"722","ADH1B","ADH5"
"723","ADH1B","AKR1A1"
"724","ADH1C","ADH4"
"725","ADH1C","ADH5"
"726","ADH1C","AKR1A1"
"727","ADH1C","ALDH2"
"728","ADH1C","CEBPA"
"729","ADH4","ADH5"
"730","ADH4","ADH7"
"731","ADH4","AKR1A1"
"732","ADH5","AKR1A1"
"733","ADK","AK1"
"734","ADK","APRT"
"735","ADK","DCK"
"736","ADK","DGUOK"
"737","ADK","DHDH"
"738","ADK","GYG"
"739","ADK","GYG2"
"740","ADK","HPRT1"
"741","ADK","XYLB"
"742","ADM","ADMR"
"743","ADM","CALCA"
"744","ADM","HF1"
"745","ADM","RAMP1"
"746","ADM","RAMP2"
"747","ADM","RAMP3"
"748","ADM","S100A12"
"749","ADORA1","GNAI2"
"750","ADPRT","ADPRTL2"
"751","ADPRT","ANXA5"
"752","ADPRT","BAX"
"753","ADPRT","CASP1"
"754","ADPRT","CASP3"
"755","ADPRT","CDKN1A"
"756","ADPRT","CYCS"
"757","ADPRT","DFFA"
"758","ADPRT","FADD"
"759","ADPRT","GRAP2"
"760","ADPRT","LMNB1"
"761","ADPRT","MAP2K4"
"762","ADPRT","MAPK8"
"763","ADPRT","MDM2"
"764","ADPRT","OAZ"
"765","ADPRT","RB1"
"766","ADPRT","TNFRSF6"
"767","ADPRT","TNKS2"
"768","ADPRT","TOP1"
"769","ADPRT","TP53"
"770","ADPRT","YWHAZ"
"771","ADRA1B","SAG"
"772","ADRA2A","ADRA2B"
"773","ADRA2A","ADRB1"
"774","ADRA2A","GNAO1"
"775","ADRA2A","YWHAZ"
"776","ADRA2B","ADRA2C"
"777","ADRB1","GRB2"
"778","ADRB1","RGS19IP1"
"779","ADRB2","EIF2B1"
"780","ADRB2","FLJ21939"
"781","ADRB2","GRB2"
"782","ADRB2","KCNJ9"
"783","ADRB2","SLC9A3R1"
"784","ADRB2","SLC9A3R2"
"785","ADRB2","SPARC"
"786","ADRB3","CSK"
"787","ADRB3","SRC"
"788","ADRBK1","PBP"
"789","ADRBK1","PDC"
"790","ADRBK1","RHO"
"791","ADRBK1","SRC"
"792","ADRBK2","ARRB2"
"793","ADRBK2","CXCR4"
"794","ADRM1","UCHL5"
"795","ADSL","COQ6"
"796","ADSL","FLJ10140"
"797","ADSL","GART"
"798","ADSL","KMO"
"799","ADSL","SOS1"
"800","ADSL","SOS2"
"801","ADSL","SQLE"
"802","ADSS","APOA1BP"
"803","ADSS","ATP2C1"
"804","ADSS","EIF2AK4"
"805","ADSS","FLJ10769"
"806","ADSS","HARS"
"807","ADSS","HARSL"
"808","ADSS","IPT"
"809","ADSS","KIAA0703"
"810","ADSS","MLH1"
"811","ADSS","MLH3"
"812","ADSS","PHB"
"813","ADSS","PMS2"
"814","ADSS","REA"
"815","AEGL1","KIAA0970"
"816","AES","RELA"
"817","AES","SGCE"
"818","AES","SIX1"
"819","AES","SIX2"
"820","AES","SIX3"
"821","AES","SIX6"
"822","AES","TCF3"
"823","AES","TLE1"
"824","AF3P21","FLJ31657"
"825","AF5Q31","LCMR1"
"826","AF5Q31","MGC5309"
"827","AFG3L1","MRPS12"
"828","AFG3L2","FLJ10983"
"829","AFG3L2","FLJ32029"
"830","AFG3L2","IMPK"
"831","AFG3L2","LOC90353"
"832","AFM","AFP"
"833","AFM","ALF"
"834","AFP","CCR5"
"835","AFP","CEACAM5"
"836","AFP","GC"
"837","AFP","PAPPA"
"838","AGA","IGF2R"
"839","AGC1","C1QA"
"840","AGC1","FBLN1"
"841","AGC1","FBLN2"
"842","AGC1","HMX3"
"843","AGC1","TNFAIP6"
"844","AGC1","TNR"
"845","AGER","HMGB1"
"846","AGER","S100A1"
"847","AGER","S100A12"
"848","AGER","S100B"
"849","AGL","GYG"
"850","AGL","GYG2"
"851","AGPAT1","AGPAT2"
"852","AGPAT1","ALG5"
"853","AGPAT1","C20orf155"
"854","AGPAT2","ALG5"
"855","AGPAT2","C20orf155"
"856","AGRP","MC1R"
"857","AGRP","MC3R"
"858","AGRP","MC4R"
"859","AGRP","POMC"
"860","AGT","ACE"
"861","AGT","AGTR2"
"862","AGT","HAT1"
"863","AGT","MEP1A"
"864","AGT","NPPB"
"865","AGT","SARA1"
"866","AGTR1","HAT1"
"867","AGTR1","JAK2"
"868","AGTR1","SARA1"
"869","AGTR2","SARA1"
"870","AGTRL1","APELIN"
"871","AGTRL1","CCR3"
"872","AGTRL1","CD4"
"873","AGXT","CN2"
"874","AGXT","CPGL2"
"875","AGXT","FLJ32569"
"876","AGXT","MASA"
"877","AGXT","MGC12904"
"878","AHCY","BCKDK"
"879","AHCY","LOC64172"
"880","AHCY","MGC955"
"881","AHCY","PDK1"
"882","AHCY","PDK2"
"883","AHCYL1","KIAA0964"
"884","AHR","AIP"
"885","AHR","ARNT"
"886","AHR","CCNT1"
"887","AHR","CTSD"
"888","AHR","CYP1A1"
"889","AHR","NCOA3"
"890","AHR","NEDD8"
"891","AHR","RB1"
"892","AHSG","DCN"
"893","AHSG","FBXO2"
"894","AHSG","INSR"
"895","AIG-1","STX18"
"896","AIH2","AMBN"
"897","AIP","SID6-306"
"898","AIPL1","SID6-306"
"899","AIRE","CREBBP"
"900","AIT","LOC284866"
"901","AK1","AK3"
"902","AK1","G6PD"
"903","AK1","HSPA5"
"904","AK1","MTAP"
"905","AK2","CDH1"
"906","AK2","ENO1"
"907","AK2","FLJ20643"
"908","AK2","LOC130672"
"909","AK2","LOC284393"
"910","AK2","MRPL2"
"911","AK2","PEPC"
"912","AK2","PGM1"
"913","AK2","POLR1C"
