"","V1","V2"
"863","PLCG1","PLD2"
"864","PLCG1","KHDRBS1"
"865","PLCG1","PKN2"
"866","PAK1","PLCG1"
"867","PLCG1","PICALM"
"868","PLCG1","DAB1"
"869","PLCG1","BAG3"
"870","PLCG1","GAB1"
"871","STAT2","IFNAR1"
"872","PLCG1","PRKD1"
"873","PLCG1","AGAP2"
"874","PLCG1","VAV3"
"875","PLCG1","SNAP91"
"876","PLCG1","GIT1"
"877","PLCG1","USO1"
"878","PLCG1","LAT2"
"879","PLCG1","TNK1"
"880","PLCG1","TRPM7"
"881","PLCG1","-"
"882","PRKACA","IFNAR1"
"883","PLCG1","SOCS7"
"884","PLCG1","TRPC3"
"885","SLC2A4","IDH2"
"886","PLG","ENO1"
"887","JUP","ZFYVE9"
"888","NIT1","ZFYVE9"
"889","SMAD1","ZBTB44"
"890","SMAD1","TTF2"
"891","CRKL","IFNAR1"
"892","CTRC","PHKG1"
"893","UBE2I","SNIP1"
"894","PHKG1","PHKG2"
"895","FAF1","SNIP1"
"896","PIAS2","SNIP1"
"897","HERC1","LAPTM5"
"898","SMAD4","TDG"
"899","TDG","SNIP1"
"900","POU1F1","PITX1"
"901","POU1F1","NR1I2"
"902","PRMT1","IFNAR1"
"903","POU1F1","NR1I3"
"904","ZMYM5","SNIP1"
"905","SETDB1","SNIP1"
"906","RNASE1","RNH1"
"907","PLG","SERPINB6"
"908","PROC","SERPINB6"
"909","F2","SERPINB6"
"910","PLAU","SERPINB6"
"911","F10","SERPINB6"
"912","SMAD4","MYOD1"
"913","CANX","IFNGR1"
"914","HIPK1","SNIP1"
"915","PECAM1","JUP"
"916","JUP","APC"
"917","JUP","PTPRF"
"918","JUP","CDH1"
"919","JUP","DSC3"
"920","JUP","PTPRJ"
"921","JUP","CTNND1"
"922","JUP","CDH5"
"923","JUP","PKD1"
"924","IFNGR2","IFNGR1"
"925","JUP","TCF7L2"
"926","JUP","PTPRK"
"927","JUP","PKP2"
"928","JUP","PTPN14"
"929","JUP","BTRC"
"930","JUP","AXIN1"
"931","SVEP1","SMAD9"
"932","PLG","SERPINE1"
"933","PLG","PLAT"
"934","IFNG","IFNGR1"
"935","PLG","PAPPA"
"936","PLG","PRNP"
"937","KLK3","PLG"
"938","MMP7","PLG"
"939","PLG","SPARC"
"940","PLG","CLEC3B"
"941","PLG","THBS1"
"942","PLG","PLAU"
"943","PLG","C7"
